,,,,,"Enji Todoroki"
0,"Innervate",1,100.0%,,1
1,"Lesser Jasper Spellstone",2,100.0%,,2
1,"Naturalize",2,100.0%,,2
2,"Wild Growth",2,100.0%,,2
2,"Wrath",2,100.0%,,2
3,"Ferocious Howl",2,100.0%,,2
3,"Tar Creeper",1,100.0%,,1
4,"Branching Paths",2,100.0%,,2
4,"Ironwood Golem",2,100.0%,,2
4,"Oaken Summons",2,100.0%,,2
4,"Swipe",2,100.0%,,2
4,"Twig of the World Tree",1,100.0%,,1
5,"Nourish",2,100.0%,,2
6,"Spreading Plague",2,100.0%,,2
7,"Azalina Soulthief",1,100.0%,,1
7,"Malfurion the Pestilent",1,100.0%,,1
8,"King Togwaggle",1,100.0%,,1
10,"Ultimate Infestation",2,100.0%,,2
